,time,1. open,2. high,3. low,4. close,5. volume,day,hour
0,2022-09-26 20:00:00,275.8000,276.6900,275.8000,276.4001,33714,26,20
1,2022-09-26 19:45:00,275.9200,276.0000,275.7500,275.8600,27021,26,19
2,2022-09-26 19:30:00,275.4700,275.9200,275.4700,275.8000,13035,26,19
3,2022-09-26 19:15:00,275.3000,275.4800,275.2400,275.3500,12372,26,19
4,2022-09-26 19:00:00,275.2300,275.3600,275.1500,275.2000,13274,26,19
5,2022-09-26 18:45:00,275.3900,275.4700,275.1500,275.1500,11744,26,18
6,2022-09-26 18:30:00,275.3300,275.4500,275.1000,275.2400,30507,26,18
7,2022-09-26 18:15:00,275.4934,275.6500,275.1500,275.2000,23603,26,18
8,2022-09-26 18:00:00,275.2300,275.5000,275.2000,275.3600,10277,26,18
9,2022-09-26 17:45:00,275.2948,275.3900,275.1600,275.3900,8033,26,17
10,2022-09-26 17:30:00,275.5000,275.6000,275.1690,275.2200,19122,26,17
11,2022-09-26 17:15:00,275.5599,275.6200,275.4000,275.5800,9725,26,17
12,2022-09-26 17:00:00,275.6000,275.7000,275.5140,275.7000,10493,26,17
13,2022-09-26 16:45:00,275.6906,276.0100,275.4600,275.6100,59055,26,16
14,2022-09-26 16:30:00,276.0100,276.0100,275.2100,275.6100,66700,26,16
15,2022-09-26 16:15:00,276.0800,276.0800,275.0400,275.7000,618797,26,16
16,2022-09-26 16:00:00,277.7800,278.3900,275.7700,276.0500,2974358,26,16
17,2022-09-26 15:45:00,279.3250,279.7376,277.2100,277.8183,1683766,26,15
18,2022-09-26 15:30:00,279.0200,280.0300,278.3000,279.2600,1381632,26,15
19,2022-09-26 15:15:00,279.6601,280.5200,278.9300,279.1425,1600020,26,15
20,2022-09-26 15:00:00,277.7800,280.3999,277.6200,279.7050,1950366,26,15
21,2022-09-26 14:45:00,277.7200,278.6200,277.3000,277.8150,1257749,26,14
22,2022-09-26 14:30:00,278.8650,279.2000,277.4950,277.7599,1115043,26,14
23,2022-09-26 14:15:00,276.9700,279.4200,276.6970,278.8750,1574352,26,14
24,2022-09-26 14:00:00,277.0200,278.4400,276.8200,276.9705,1106945,26,14
25,2022-09-26 13:45:00,277.0100,277.7900,276.3600,277.0800,1093536,26,13
26,2022-09-26 13:30:00,276.8800,277.7800,276.0200,277.0510,999942,26,13
27,2022-09-26 13:15:00,278.2824,278.3900,276.5545,276.8800,1136872,26,13
28,2022-09-26 13:00:00,276.1500,278.7935,276.1500,278.2287,1464667,26,13
29,2022-09-26 12:45:00,276.1300,276.7000,275.7500,276.2244,1166102,26,12
30,2022-09-26 12:30:00,278.1000,278.7800,275.8000,276.1701,1499674,26,12
31,2022-09-26 12:15:00,279.2200,279.2700,277.6100,278.1600,973434,26,12
